what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1331568542147
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1331568542153
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1331568542154
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1331568542160
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1331568542161
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1331568542163
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1331568542170
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1331568542172
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1331568542176
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1331568542177
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1331568542188
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1331568542190
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1331568542195
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1331568542201
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1331568542211
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1331568542252
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1331568542261
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1331568542262
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1331568542263
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1331568542264
started,bundle,org.tigris.subversion.subclipse.core,1.0.0,"org.tigris.subversion.subclipse.core",1331568542290
started,bundle,org.tigris.subversion.subclipse.ui,1.0.0,"org.tigris.subversion.subclipse.ui",1331568542308
os,sysinfo,,,"macosx",1331568542310
arch,sysinfo,,,"x86_64",1331568542310
ws,sysinfo,,,"cocoa",1331568542310
locale,sysinfo,,,"en_US",1331568542310
processors,sysinfo,,,"8",1331568542310
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331568542310
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1331568542310
java.specification.name,sysinfo,,,"Java Platform API Specification",1331568542310
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331568542310
java.specification.version,sysinfo,,,"1.6",1331568542310
java.vendor,sysinfo,,,"Apple Inc.",1331568542310
java.version,sysinfo,,,"1.6.0_29",1331568542310
java.vm.info,sysinfo,,,"mixed mode",1331568542310
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1331568542310
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331568542310
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331568542310
java.vm.specification.version,sysinfo,,,"1.0",1331568542310
java.vm.vendor,sysinfo,,,"Apple Inc.",1331568542310
java.vm.version,sysinfo,,,"20.4-b02-402",1331568542310
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1331568543412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331568543906
